Player,Season,Split,Tm,Team_MP,Team_eFG%,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORtg,Opp_eFG%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Opp_ORtg,Diff_eFG%,Diff_ORB%,Diff_DRB%,Diff_TRB%,Diff_AST%,Diff_STL%,Diff_BLK%,Diff_TOV%,Diff_ORtg
Kobe Bryant,2003,On Court,LAL,2447,0.488,29.4,73,51,64.5,9.6,7.7,14.8,107.9,0.474,27,70.6,49,59.3,8,5.8,16.8,101.7,0.014,2.4,2.4,2.1,5.3,1.5,1.9,-2,6.2
Kobe Bryant,2003,Off Court,LAL,1524,0.47,26.1,73.9,49.4,64,7.9,5.9,14.8,101.2,0.468,26.1,73.9,50.6,57.2,8.1,5.1,15.9,101,0.002,0,0,-1.3,6.8,-0.2,0.9,-1.1,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2004,On Court,LAL,2689,0.487,29.7,70.9,50.4,57.4,6.8,6.6,15.3,108.9,0.494,29.1,70.3,49.6,63.7,8,8.4,12.9,111.7,-0.007,0.7,0.7,0.7,-6.4,-1.2,-1.8,2.4,-2.8
Kobe Bryant,2004,Off Court,LAL,1267,0.482,29.1,71.3,50.6,58.6,6.7,5.8,16.3,104.2,0.491,28.7,70.9,49.4,63.7,9,9.3,12.8,109.4,-0.008,0.3,0.3,1.3,-5.1,-2.3,-3.5,3.5,-5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2005,On Court,LAL,3277,0.506,29.1,73.2,51.3,57.9,8.4,6.5,14.6,111.3,0.49,26.8,70.9,48.7,58.6,6.9,6.7,15.3,106.8,0.017,2.2,2.2,2.5,-0.7,1.5,-0.2,-0.7,4.6
Kobe Bryant,2005,Off Court,LAL,694,0.434,27.5,75.6,51.1,58.4,8.1,7.9,18.1,92.4,0.468,24.4,72.5,48.9,59.5,8,8.7,15.8,100.4,-0.033,3.1,3.1,2.2,-1.1,0.1,-0.8,2.3,-8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2006,On Court,LAL,3140,0.514,25.7,72.6,49.5,58.9,7.8,7.9,15.9,109.7,0.497,27.4,74.3,50.5,58.4,8.2,8.2,15.3,108.6,0.018,-1.7,-1.7,-1.1,0.5,-0.4,-0.3,0.6,1.1
Kobe Bryant,2006,Off Court,LAL,866,0.499,27.6,71.3,49.1,62.5,7.2,8.2,18,104.7,0.511,28.7,72.4,50.9,56.7,8.7,8.5,16.4,109.6,-0.012,-1,-1,-1.8,5.8,-1.5,-0.3,1.6,-4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2007,On Court,LAL,3192,0.525,25.9,73.6,50.8,60.8,8.3,7.9,14.1,114.4,0.485,26.4,74.1,49.2,57.4,7.7,7.1,14.7,105.4,0.041,-0.5,-0.5,1.7,3.4,0.6,0.8,-0.7,9
Kobe Bryant,2007,Off Court,LAL,764,0.523,27.7,72.4,50.6,65.6,8.4,8.4,17.5,108.2,0.485,27.6,72.3,49.4,57.1,9.7,8,15.3,106.2,0.038,0.2,0.2,1.2,8.5,-1.3,0.3,2.1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebron James,2009,On Court,CLE,2966,0.548,25,77,52.5,60,7.7,8.3,14.6,115.8,0.482,23,75,47.5,56,7,6.3,14.3,104.3,0.066,2.1,2.1,5,4,0.7,2,0.3,11.5
Lebron James,2009,Off Court,CLE,990,0.484,25.3,77.8,52.4,56.3,7,8.1,17.3,100.5,0.483,22.2,74.7,47.6,58.4,8.2,8,12.9,105.8,0.001,3,3,4.7,-2.1,-1.2,0.1,4.4,-5.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebron James,2010,On Court,MIA,3063,0.524,25.9,75.6,52.4,53.6,7.3,8.4,15.1,113.6,0.469,24.4,74.1,47.6,57.7,7.7,4.6,14.5,103,0.055,1.5,1.5,4.8,-4.1,-0.5,3.8,0.7,10.6
Lebron James,2010,Off Court,MIA,893,0.525,22.8,75.1,49.8,55.6,7.4,9.1,16.2,109,0.495,24.9,77.2,50.2,57,7.7,7.1,14.6,107.3,0.03,-2.1,-2.1,-0.3,-1.3,-0.3,2,1.6,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebron James,2011,On Court,MIA,2327,0.516,26.4,73.5,50.9,54.6,10.5,9.5,15.3,110.5,0.477,26.5,73.6,49.1,56.9,8.6,6.4,18.5,100.1,0.039,-0.1,-0.1,1.9,-2.3,1.9,3.1,-3.2,10.4
Lebron James,2011,Off Court,MIA,881,0.474,27.1,75,51.7,51.6,7.2,7.5,19.9,98.1,0.485,25,72.9,48.3,56.4,10.3,7.5,17.4,101.7,-0.011,2.1,2.1,3.3,-4.7,-3.1,0.1,2.5,-3.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebron James,2012,On Court,MIA,2879,0.561,22.5,73.3,49.4,59.8,10.1,9.2,14.2,116.5,0.485,26.7,77.5,50.6,56.8,8.1,5.3,17.7,103.3,0.076,-4.1,-4.1,-1.2,3,2,3.8,-3.4,13.2
Lebron James,2012,Off Court,MIA,1097,0.529,21.4,72.1,48.1,60.7,7.9,8.9,18.4,104.6,0.493,27.9,78.6,51.9,56.5,10.3,7.1,15.7,106.7,0.036,-6.5,-6.5,-3.9,4.2,-2.5,1.8,2.6,-2.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebron James,2013,On Court,MIA,2887,0.57,19.4,72.7,47.4,60.1,9.5,7.5,15.9,113.7,0.513,27.3,80.6,52.6,59.2,9,5.4,18,106.6,0.058,-7.8,-7.8,-5.2,0.9,0.5,2.1,-2.1,7.2
Lebron James,2013,Off Court,MIA,1072,0.51,23.4,73.8,48.7,55,10.3,9.5,16.4,104.7,0.507,26.2,76.6,51.3,58.7,8.3,6.6,18.2,104.5,0.004,-2.8,-2.8,-2.6,-3.6,2,2.9,-1.8,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,2018,On Court,MIL,2360,0.559,20,81.1,52.6,59.4,7.5,12,13.1,116.6,0.5,18.9,80,47.4,60.6,6.1,9.4,13.4,104.5,0.06,1.1,1.1,5.2,-1.2,1.4,2.5,-0.3,12.1
Giannis Antetokounmpo,2018,Off Court,MIL,1599,0.536,21.9,79.2,52,61.2,6.9,8,13.9,111.5,0.508,20.8,78.1,48,62,7.3,8.6,12.3,108.2,0.028,1.1,1.1,3.9,-0.8,-0.4,-0.6,1.6,3.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,2019,On Court,MIL,1918,0.56,20.7,82.6,53.9,59.2,7,12.2,13.7,115.4,0.472,17.4,79.3,46.1,62.2,6.3,8.3,13.7,99.6,0.087,3.3,3.3,7.8,-2.9,0.7,3.9,0,15.8
Giannis Antetokounmpo,2019,Off Court,MIL,1603,0.542,20.6,80.4,51.9,60.5,6.6,9.2,15.2,110.5,0.508,19.6,79.4,48.1,61.9,7.9,9,12.9,107.5,0.034,1,1,3.8,-1.5,-1.3,0.2,2.3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,2020,On Court,MIL,2013,0.577,22.1,81.3,53,57.7,7.7,9.3,13.5,119,0.534,18.7,77.9,47,58.6,6.6,7.2,12.8,110.6,0.043,3.3,3.3,6.1,-0.9,1.1,2.1,0.6,8.4
Giannis Antetokounmpo,2020,Off Court,MIL,1455,0.551,25,77.6,51.9,55.8,8.2,7.5,13.6,115.7,0.539,22.4,75,48.1,59.8,7.3,10.9,12.9,114,0.012,2.6,2.6,3.9,-4,0.9,-3.4,0.7,1.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,2021,On Court,MIL,2206,0.566,21.5,80.7,52.7,59.7,7.8,8.5,13.1,118.7,0.527,19.3,78.5,47.3,62.9,7.3,8.1,12.5,110.8,0.038,2.2,2.2,5.3,-3.2,0.5,0.4,0.6,8
Giannis Antetokounmpo,2021,Off Court,MIL,1748,0.523,24.8,75.9,49.9,53.7,7.4,7.2,13.9,111.4,0.548,24.1,75.2,50.1,62.1,7.5,9,13.8,114.5,-0.025,0.8,0.8,-0.2,-8.4,-0.1,-1.8,0.1,-3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,2022,On Court,MIL,2026,0.568,25.6,78.8,53.5,60.1,6.5,8.1,13.8,119.3,0.515,21.2,74.4,46.5,57,6.4,7.4,11.2,111.9,0.054,4.3,4.3,7,3.1,0.2,0.7,2.6,7.4
Giannis Antetokounmpo,2022,Off Court,MIL,1943,0.541,24.4,76.7,51.3,60.7,6,8.5,15.2,112.3,0.527,23.3,75.6,48.7,55.7,7.6,8.4,12.2,112.7,0.014,1.1,1.1,2.5,5,-1.6,0.1,3,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,2019,On Court,PHI,1507,0.519,24.6,80.9,53.6,59.9,7.7,9.2,15.1,110.8,0.5,19.1,75.4,46.4,57.2,7.3,7.1,13.5,105.6,0.019,5.5,5.5,7.2,2.7,0.5,2.1,1.6,5.2
Joel Embiid,2019,Off Court,PHI,2015,0.544,23.5,79.7,50.9,64.8,8.4,9.6,13.8,113,0.541,20.3,76.5,49.1,57.2,6.9,7.3,14.3,112.8,0.002,3.2,3.2,1.8,7.7,1.5,2.4,-0.5,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,2020,On Court,PHI,1586,0.571,20.4,78,51,57.7,9.4,10.4,13.7,119.7,0.519,22,79.6,49,59.7,7,7.5,15.4,107.3,0.052,-1.6,-1.6,2.1,-1.9,2.3,2.9,-1.7,12.4
Joel Embiid,2020,Off Court,PHI,1903,0.517,25.3,78.4,51.3,56.8,8.9,12.5,15.1,109.2,0.524,21.6,74.7,48.7,59.8,7.4,8.8,15.8,109.2,-0.007,3.7,3.7,2.7,-3,1.5,3.6,-0.7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,2021,On Court,PHI,2296,0.551,16.4,77,48.1,61.6,7.6,9.2,11.8,117.4,0.514,23,83.6,51.9,58.5,6.6,7.8,13.1,109.8,0.037,-6.5,-6.5,-3.8,3,1,1.4,-1.3,7.5
Joel Embiid,2021,Off Court,PHI,1667,0.513,24.8,76.4,50.1,58.4,8.6,10.9,14.7,110.1,0.538,23.6,75.2,49.9,60.6,7.3,10,14.7,114.1,-0.025,1.2,1.2,0.2,-2.2,1.4,0.9,0,-4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,2022,On Court,PHI,2252,0.577,19.2,78,50.1,65,7.5,8.8,13.8,121.2,0.533,22,80.8,49.9,58.1,6.9,8.8,14.3,112.1,0.044,-2.8,-2.8,0.2,6.9,0.6,0,-0.5,9.1
Joel Embiid,2022,Off Court,PHI,1679,0.542,24.3,76.3,49.5,57,8.5,9.4,14.4,115.2,0.551,23.7,75.7,50.5,62.4,6.6,9.4,15.2,116.3,-0.009,0.6,0.6,-1,-5.4,1.9,0.1,-0.8,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Embiid,2023,On Court,PHI,1310,0.549,23.1,75.7,50.4,64.7,8.3,9.7,11.8,120.8,0.518,24.3,76.9,49.6,62.8,5.9,9.8,13.5,111.2,0.031,-1.2,-1.2,0.7,1.9,2.4,0,-1.7,9.6
Joel Embiid,2023,Off Court,PHI,2648,0.524,25.6,73.6,48.5,57.5,8.9,12.3,12.5,115.6,0.547,26.4,74.4,51.5,65.4,6.5,11.5,15.8,116,-0.023,-0.8,-0.8,-2.9,-7.8,2.3,0.7,-3.3,-0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,2016,On Court,HOU,2937,0.551,24.5,76.6,50.5,63,8.1,6.7,15.1,117,0.528,23.4,75.5,49.5,58.8,8.6,10.5,14.7,110.1,0.024,1.2,1.2,1,4.1,-0.5,-3.8,0.4,7
James Harden,2016,Off Court,HOU,1006,0.527,24.9,73.4,49.4,61.6,8.3,8.5,15.4,110.4,0.497,26.6,75.1,50.6,58,8.4,10.8,16,106.7,0.03,-1.7,-1.7,-1.2,3.6,-0.1,-2.3,-0.6,3.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,2017,On Court,HOU,2536,0.559,21.7,79.3,51.3,56.1,9.1,8.6,14.5,118.1,0.528,20.7,78.3,48.7,56,8,10.7,15.4,107.6,0.032,1,1,2.5,0.2,1.2,-2.2,-0.9,10.5
James Harden,2017,Off Court,HOU,1388,0.536,20.3,81.1,50.1,54.8,8.2,8.2,14.1,110.7,0.51,18.9,79.7,49.9,57.9,7.1,10.1,14.5,105.5,0.026,1.4,1.4,0.3,-3.1,1.1,-1.9,-0.4,5.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,2018,On Court,HOU,2868,0.55,23.9,73.3,48.4,52.2,8.8,8.6,14,118.3,0.527,26.7,76.1,51.6,59.1,7.9,11.1,15.4,111.7,0.023,-2.7,-2.7,-3.2,-6.9,1,-2.6,-1.4,6.6
James Harden,2018,Off Court,HOU,1103,0.52,20.2,77.1,47.3,59.2,8.4,9,12.6,110.9,0.519,22.9,79.8,52.7,55.9,6.7,9.8,15,109.8,0.001,-2.6,-2.6,-5.5,3.3,1.6,-0.8,-2.4,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,2019,On Court,HOU,2484,0.539,22.2,75.4,48.9,53.3,8.5,9.6,14.1,115.3,0.519,24.6,77.8,51.1,60.8,7.9,11.7,15.5,109.6,0.02,-2.4,-2.4,-2.3,-7.5,0.7,-2,-1.4,5.7
James Harden,2019,Off Court,HOU,996,0.533,17.9,75.5,45.7,52.3,8.2,8,14,110.2,0.552,24.5,82.1,54.3,57.2,7.4,9.1,15.8,113.6,-0.019,-6.6,-6.6,-8.7,-4.9,0.8,-1.1,-1.7,-3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,2020,On Court,BRK,1321,0.584,21.9,78.8,51.9,61.6,6.4,9.2,13.5,121,0.545,21.2,78.1,48.1,58.4,7.8,9.3,12,115.9,0.039,0.7,0.7,3.8,3.3,-1.4,-0.2,1.4,5.1
James Harden,2020,Off Court,BRK,2163,0.569,21.1,76.3,50.1,62.4,6.9,9.7,13.7,117.6,0.523,23.7,78.9,49.9,56.6,7.6,8.7,13,112.7,0.046,-2.5,-2.5,0.2,5.7,-0.7,1,0.7,4.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,2013,On Court,OKC,3111,0.527,26.2,75.9,52.5,55.9,8.3,10.8,15.9,112.2,0.489,24.1,73.8,47.5,59,8.6,6,15.2,104.2,0.038,2.1,2.1,5,-3.1,-0.3,4.8,0.6,8
Kevin Durant,2013,Off Court,OKC,841,0.492,27.7,74.3,51.1,57.1,9.6,8.2,15.8,103.3,0.482,25.7,72.3,48.9,63,8.1,6,17.9,101.4,0.01,2,2,2.2,-5.9,1.5,2.2,-2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
